iter	Passed	Remaining
0	0	446
1	1	376
2	2	348
3	2	358
4	3	349
5	4	338
6	5	360
7	5	356
8	6	351
9	7	343
10	7	341
11	8	332
12	8	324
13	9	326
14	9	320
15	10	319
16	11	314
17	11	311
18	12	312
19	13	313
20	13	310
21	14	306
22	14	303
23	15	300
24	15	298
25	16	296
26	16	293
27	17	291
28	17	289
29	18	287
30	18	285
31	19	286
32	20	286
33	20	284
34	21	282
35	21	280
36	22	278
37	22	277
38	23	275
39	23	274
40	24	272
41	25	273
42	25	272
43	26	270
44	26	268
45	27	268
46	27	269
47	28	268
48	29	267
49	29	266
50	30	264
51	30	263
52	31	263
53	31	262
54	32	261
55	32	260
56	33	259
57	33	258
58	34	257
59	34	255
60	35	257
61	36	256
62	36	255
63	37	254
64	37	253
65	38	251
66	39	252
67	39	251
68	40	252
69	40	251
70	41	250
71	41	249
72	42	248
73	43	247
74	43	248
75	44	248
76	45	247
77	45	246
78	46	245
79	46	244
80	47	243
81	47	242
82	48	242
83	48	241
84	49	240
85	49	239
86	50	239
87	50	238
88	51	237
89	52	237
90	52	236
91	53	235
92	53	234
93	54	233
94	54	233
95	55	232
96	55	232
97	56	231
98	56	230
99	57	230
100	58	229
101	58	228
102	58	227
103	59	226
104	60	225
105	60	225
106	61	224
107	61	223
108	62	222
109	62	221
110	63	221
111	63	220
112	64	219
113	64	218
114	65	217
115	65	217
116	66	216
117	66	215
118	67	214
119	67	214
120	68	213
121	68	212
122	69	211
123	69	211
124	70	210
125	70	210
126	71	209
127	71	208
128	72	207
129	72	207
130	73	206
131	73	205
132	74	205
133	74	204
134	75	203
135	75	203
136	76	202
137	76	201
138	77	201
139	77	200
140	78	199
141	78	199
142	79	198
143	80	197
144	80	197
145	81	196
146	81	195
147	82	195
148	82	194
149	83	193
150	83	193
151	84	192
152	84	191
153	85	191
154	85	191
155	86	190
156	86	189
157	87	189
158	88	188
159	88	188
160	88	187
161	89	186
162	90	186
163	90	185
164	91	184
165	91	184
166	92	183
167	92	183
168	93	182
169	93	181
170	94	181
171	94	180
172	95	180
173	95	179
174	96	179
175	96	178
176	97	177
177	98	177
178	98	176
179	99	176
180	99	175
181	100	175
182	100	174
183	101	173
184	101	173
185	102	172
186	102	171
187	103	171
188	103	170
189	104	170
190	104	169
191	105	168
192	105	168
193	106	167
194	106	167
195	107	166
196	108	166
197	108	165
198	109	165
199	109	164
200	110	163
201	110	163
202	111	162
203	111	161
204	112	161
205	112	160
206	113	160
207	113	159
208	114	159
209	114	158
210	115	157
211	115	157
212	116	156
213	116	156
214	117	155
215	117	154
216	118	154
217	118	153
218	119	153
219	119	152
220	120	151
221	120	151
222	121	150
223	121	150
224	122	149
225	123	149
226	123	148
227	124	148
228	124	147
229	125	147
230	125	146
231	126	146
232	126	145
233	127	145
234	128	144
235	128	143
236	129	143
237	130	143
238	131	143
239	131	142
240	132	142
241	133	141
242	133	141
243	134	140
244	134	140
245	135	139
246	135	139
247	136	138
248	136	138
249	137	137
250	137	136
251	138	136
252	138	135
253	139	135
254	140	134
255	140	133
256	141	133
257	141	132
258	142	132
259	142	131
260	143	131
261	143	130
262	144	129
263	144	129
264	145	128
265	145	128
266	146	127
267	147	127
268	147	126
269	148	126
270	148	125
271	149	125
272	149	124
273	150	124
274	150	123
275	151	122
276	151	122
277	152	121
278	152	121
279	153	120
280	153	119
281	154	119
282	154	118
283	155	118
284	155	117
285	156	117
286	156	116
287	157	115
288	157	115
289	158	114
290	158	114
291	159	113
292	160	113
293	160	112
294	161	111
295	161	111
296	162	110
297	162	110
298	163	109
299	163	109
300	164	108
301	164	107
302	165	107
303	165	106
304	166	106
305	166	105
306	167	105
307	167	104
308	168	103
309	168	103
310	169	102
311	169	102
312	170	101
313	170	101
314	171	100
315	171	100
316	172	99
317	172	98
318	173	98
319	173	97
320	174	97
321	175	96
322	175	96
323	176	95
324	176	95
325	177	94
326	177	94
327	178	93
328	178	92
329	179	92
330	179	91
331	180	91
332	180	90
333	181	90
334	182	89
335	182	89
336	183	88
337	183	88
338	184	87
339	184	86
340	185	86
341	185	85
